average_price,loupan_type,loupan_detailAddress,loupan_title,loupan_region
15000,住宅,雨花-圭塘南路与木莲东路交汇处,鑫苑木莲世家,雨花
9000,商业类,岳麓-岳麓区梅溪湖东方红路与东雷路交汇处（步步高新天地以南）,梅溪鑫苑名家,岳麓
8200,商业类,雨花-雨花区沙湾路89号（省跳水中心对面）,半山公馆,雨花
7300,住宅,望城-望城区雷锋大道与银星路交汇处东南角,新城国际花都四期,望城
20000,商铺,雨花-万家丽中路三段36号,喜盈门范城,雨花
40000,商铺,岳麓-岳麓区玉兰路577号,达美D6区,岳麓
67000,商铺,天心-天心区劳动西路317号,叮叮mall,天心
9500,商业类,岳麓-岳麓区枫林三路与麓云路交汇处东北角（城西车辆监测站旁）,高盛华成,岳麓
8500,住宅,雨花-红星路与五局路交汇处（湘府东路517号红星国际B座）,红星怡景苑,雨花
5600,商业类,望城-望城星城镇杨峰村桑梓村,CROSS尚公馆,望城
9000,住宅,岳麓-潇湘南路一段508号,中国电建湘熙水郡三期,岳麓
6800,商业类,望城-望城区芙蓉北路与太阳山路交汇处东南角（湖南外贸职业学院南侧）,学府星城 ,望城
5200,住宅,长沙县-天华路与向阳路交叉处东南角（广华楼旁）,广华国际公馆,长沙县
12000,住宅,天心-天心区中意二路177号,中海新城熙岸,天心
7000,住宅,望城-金星北路与银星路交叉口西侧,龙湖紫宸,望城
8000,住宅,岳麓-含浦大道学士路99号（洋湖垸湿地公园西大门对面）,江山帝景,岳麓
20000,商铺,开福-青竹湖镇太阳山路和青竹湖路交汇处西北角,橘郡青竹湖,开福
7500,商业类,长沙县-经济开发区星沙街道东六路266号,华润置地广场,长沙县
15000,住宅,雨花-雨花区人民中路与梓园路交汇处东南角（湘雅二医院正对面）,大财门,雨花
30000,商铺,芙蓉-芙蓉区远大路与古曲路交汇处往北200米,中欣楚天熙苑,芙蓉
5900,住宅,天心-天心区高云路6号,怡海星城,天心
7200,商业类,长沙县-经济开发区湘龙街道西霞路79号（星沙生态公园以西）,艾美潇湘,长沙县
6500,商业类,长沙县-经济开发区东六线与盼盼路交汇处东北角（泉塘公园北侧）,海德公园,长沙县
40000,商铺,岳麓-茶子山东路166号,协信星澜汇,岳麓
8500,商业类,长沙县-经济开发区星沙大道与滨湖路交汇处东南角（松雅湖畔）,未来漫城,长沙县
20000,商铺,开福-晴岚路68号,北辰凤凰天街,开福
20000,住宅,岳麓-含浦中路169号,融创融公馆,岳麓
7600,住宅,岳麓-云栖路556号,南山十里天池,岳麓
10000,写字楼,雨花-井莲路397号,红星紫金国际,雨花
7800,写字楼,雨花-雨花区香樟路与圭塘路交汇处东北角（雨花区交警队公交站附近）,万坤图财富广场,雨花
7800,写字楼,开福-金霞大道捞刀河,金霞跨境产贸城,开福
7500,商业类,天心-天心区中意二路177号,中海新城熙岸,天心
360,别墅,岳麓-岳麓区猴子石大桥西行1000米（洋湖湿地公园北岸）,中海天鉴,岳麓
39,住宅,天心-南湖路458号,蓝湾国际广场,天心
310,别墅,天心-天心区芙蓉南路和南湖大道交汇处北面,保利雲上,天心
1800,别墅,岳麓-岳麓区银杉路与谷山路交汇处西北角（岳鞍阁公园东面）,滨江一号,岳麓
1600,别墅,开福-开福区创远路1号（鹅羊山东南角）,湘江壹号三期,开福
800,别墅,望城-岳麓区潇湘中路271号,天麓,望城
1300,别墅,望城-开福区青竹湖路222号,绿城青竹园,望城
450,别墅,望城-望城区黄金西路与龙湖路交汇处东北方,绿城高尔夫小镇,望城
